iso_code,continent,location,date,new_cases,new_deaths,total_cases,total_deaths,reproduction_rate,hosp_patients,new_tests,positive_rate,new_vaccinations,population,median_age,hospital_beds_per_thousand
CYP,Europe,Cyprus,2020-03-08,,,,,,,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-09,,,,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-10,2.0,,2.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-11,0.0,,2.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-12,4.0,,6.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-13,0.0,,6.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-14,8.0,,14.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-15,7.0,,21.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-16,9.0,,30.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-17,10.0,,40.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-18,0.0,,40.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-19,18.0,,58.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-20,0.0,,58.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-21,9.0,,67.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-22,17.0,,84.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-23,11.0,,95.0,,,0.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-24,21.0,,116.0,,,24.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-25,8.0,3.0,124.0,3.0,1.18,23.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-26,8.0,0.0,132.0,3.0,1.18,21.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-27,14.0,0.0,146.0,3.0,1.21,29.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-28,16.0,2.0,162.0,5.0,1.24,34.0,,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-29,17.0,0.0,179.0,5.0,1.27,33.0,530.0,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-30,35.0,1.0,214.0,6.0,1.3,34.0,400.0,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-03-31,16.0,1.0,230.0,7.0,1.3,40.0,550.0,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-04-01,32.0,1.0,262.0,8.0,1.32,54.0,779.0,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-04-02,58.0,1.0,320.0,9.0,1.32,51.0,603.0,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-04-03,36.0,0.0,356.0,9.0,1.28,55.0,668.0,,,896005.0,37.3,3.4
CYP,Europe,Cyprus,2020-04-04,40.0,0.0,396.0,9.0,1.24,56.0,698.0,0.0553,,896005.0,37.3,3.4
