location,total_cases
Sri Lanka,164947.2420470263
Moldova,167749.3914956012
Egypt,176263.14609929078
Honduras,176352.41826215023
Ethiopia,176763.20088626293
Lithuania,177130.98115942028
Venezuela,177386.50147928993
Myanmar,180693.23981900452
Palestine,194503.97664233577
Denmark,199646.90655509065
Dominican Republic,207724.10885341073
Paraguay,210093.01171303075
Kuwait,210933.25035971223
Ireland,213782.98985507246
Guatemala,227361.59971509973
Croatia,230991.58069164265
Vietnam,233881.84594222833
Azerbaijan,234491.66763425255
Costa Rica,235551.682748538
Cuba,249839.20796460178
Bolivia,264456.7820324006
Panama,264491.5785609398
Bulgaria,270084.09824046923
Belarus,277637.7206946454
Ecuador,279371.5079825834
Tunisia,280535.17055393587
Georgia,283587.3217893218
Greece,306290.8060344828
Lebanon,311948.99570200575
Nepal,335995.8289655172
United Arab Emirates,345949.6671289875
Saudi Arabia,360334.60319767444
Kazakhstan,395814.1344165436
Morocco,413948.518258427
Jordan,423034.2983988355
Austria,429097.25648414984
Thailand,430578.82707774796
Hungary,458672.7147016012
Serbia,464612.09812409815
Slovakia,466403.0321637427
Switzerland,469495.48847262247
Japan,573355.1826923077
Portugal,574408.611030479
Sweden,579267.9568245126
Israel,605524.0257510729
Pakistan,631527.3357348703
Malaysia,678117.0977961433
Bangladesh,706103.7350800582
Belgium,710544.883916084
Romania,714619.7546897547
Canada,809397.9696132597
Iraq,885150.6057553957
Chile,893599.0704022988
Philippines,953958.5208333334
Czechia,979928.526850508
Netherlands,1076293.887283237
Peru,1160546.7610146862
South Africa,1378775.6587078653
Ukraine,1419925.0465793305
Indonesia,1635469.4941860465
Poland,1637899.2142857143
Mexico,1671776.2817089453
Iran,2240900.6271428573
Germany,2266351.941908714
Argentina,2275121.041388518
Colombia,2394556.9064327483
Italy,2471951.3657858134
Spain,2507189.5250696377
Turkey,3395587.005891016
France,3527277.8278236915
United Kingdom,3716422.013908206
Russia,3758697.6439499306
Brazil,10834342.22943723
India,15204647.961111112
United States,22091112.789835166
