location,total_cases
Sint Maarten (Dutch part),0.0
Niue,0.0
Tokelau,0.0
Northern Cyprus,0.0
Turkmenistan,0.0
Tuvalu,0.0
Guernsey,0.0
Jersey,0.0
Nauru,0.0
Pitcairn,0.0
Tonga,0.29927007299270075
Micronesia (country),1.0
Cook Islands,1.1934156378600822
Kiribati,1.9878048780487805
Samoa,2.7704918032786887
Vanuatu,3.5540229885057473
Saint Helena,3.6432865731462925
Marshall Islands,3.970982142857143
Palau,10.106666666666667
Solomon Islands,18.579741379310345
Vatican,21.596491228070175
Montserrat,21.973214285714285
Saint Pierre and Miquelon,28.01834862385321
Falkland Islands,42.82137404580153
Macao,49.96291208791209
Anguilla,250.94410876132932
Wallis and Futuna,305.109409190372
Greenland,360.65430267062317
Saint Kitts and Nevis,638.0300751879699
British Virgin Islands,883.7990936555891
Bonaire Sint Eustatius and Saba,970.1339421613394
Faeroe Islands,1062.4227405247814
Bhutan,1137.6988304093568
Dominica,1151.9835329341317
Antigua and Barbuda,1182.5583456425406
Cayman Islands,1195.3796159527326
Grenada,1228.8488023952095
Turks and Caicos Islands,1613.9108761329305
Saint Vincent and the Grenadines,1638.0281065088757
Monaco,1699.3608695652174
Sao Tome and Principe,1861.6110260336907
Bermuda,1895.3233979135618
New Caledonia,2076.225037257824
Liechtenstein,2107.7259475218657
Comoros,2584.7154213036565
Brunei,2601.149779735683
Liberia,2713.808320950966
Isle of Man,3095.2537313432836
Gibraltar,3106.271137026239
Chad,3132.2935916542474
Eritrea,3137.729446935725
San Marino,3221.560869565217
New Zealand,3377.846599131693
Guinea-Bissau,3404.285714285714
Sierra Leone,3730.9210925644916
Niger,3744.359701492537
Saint Lucia,4130.076923076923
Yemen,4576.208012326656
Mauritius,4794.574404761905
Gambia,4965.606240713224
Tanzania,5164.47181008902
Barbados,5276.566121842497
Taiwan,5488.461852861035
Timor,5843.62874251497
Central African Republic,6191.77037037037
Burundi,6205.763277693475
Equatorial Guinea,6762.2962962962965
South Sudan,7027.761467889908
Iceland,7214.588150289017
Nicaragua,7462.986587183308
Hong Kong,7587.687757909216
Curacao,7640.220414201183
Djibouti,7939.7827380952385
Aruba,8005.057607090103
Seychelles,8019.272592592592
