location,total_cases
Benin,8227.253709198812
Burkina Faso,8412.913235294118
Congo,8798.703703703704
Andorra,9095.204941860466
Mali,9206.977443609023
Lesotho,9642.548701298701
Bahamas,9839.778931750741
Papua New Guinea,9843.989552238805
Somalia,9970.821958456972
Togo,10065.25364431487
Belize,11255.989505247377
Tajikistan,12565.699044585986
Fiji,12681.384722222223
Haiti,12931.301492537314
Laos,13290.972972972973
Guyana,13426.368731563422
Suriname,16213.273668639053
Gabon,17066.60650887574
Guinea,17109.629246676515
Mauritania,17528.047337278105
Syria,17764.14371257485
French Polynesia,17954.184638109306
Cape Verde,18772.064179104476
Eswatini,19132.37721893491
Malta,19633.4102189781
Trinidad and Tobago,21857.473372781064
Sudan,25071.97341211226
Madagascar,25254.935820895524
Angola,26494.07313432836
Democratic Republic of Congo,27963.521354933728
Malawi,28056.95158850227
Cambodia,31877.62793914246
Cote d'Ivoire,33513.71870397644
Senegal,33887.43560057887
Jamaica,34184.57879234168
Rwanda,34233.7825443787
Maldives,36812.142228739
Luxembourg,45114.93237410072
Cameroon,48341.11403508772
Uganda,51004.50373692078
Cyprus,52367.70527859237
Zimbabwe,52826.94776119403
Namibia,53081.80325443787
El Salvador,57060.12965722802
Mozambique,62923.43862275449
Botswana,63543.5
Montenegro,67782.52748885586
Finland,68129.89875173371
Ghana,72211.9674556213
Kosovo,72300.47337278107
Afghanistan,73197.31942446044
Australia,74817.62983425414
Estonia,75790.46648044692
Singapore,75828.57634112792
Albania,84739.6167146974
Latvia,85288.7748917749
China,86974.53846153847
Uzbekistan,88425.2074074074
Zambia,89420.04613095238
Kyrgyzstan,91604.28273809524
Mongolia,94145.59117647058
Norway,96933.79220779221
North Macedonia,97491.03607503607
Algeria,103407.97118155619
Nigeria,115754.86541244572
Kenya,121052.88011695906
Bosnia and Herzegovina,127184.28321167883
South Korea,135157.67857142858
Bahrain,140878.44604316546
Libya,147998.80174927114
Armenia,155335.71552975327
Slovenia,156301.81032078102
Qatar,156723.7855072464
Uruguay,159489.21713441654
Oman,160153.23165467626
