iso_code,continent,location,date,new_cases,new_deaths,total_cases,total_deaths,reproduction_rate,hosp_patients,new_tests,positive_rate,new_vaccinations,population,median_age,hospital_beds_per_thousand
ARG,South America,Argentina,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.186,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.181,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.141,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.105,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.103,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.081,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.056,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.045,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.031,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.031,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.042,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.05,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.105,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.104,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.105,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.203,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.228,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.173,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.152,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.188,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.18,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.18,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.105,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.126,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.138,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.095,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.364,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.222,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.222,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.263,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.238,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.286,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.135,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.097,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.049,0.0,45605823.0,31.9,5.0
ARG,South America,Argentina,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024,0.0,45605823.0,31.9,5.0
